Year,Player,Position,Age,Team,Games,GamesStarted,MinutesPlayed,3Points,3PAttempts,2Points,2PAttempts,FreeThrows,FTAttempts,Fouls,Points
2017.0,Derrick Williams,PF,25.0,CLE,25.0,0,427.0,,,33.0,55.0,27.0,39.0,27.0,156.0
2017.0,Lou Williams,SG,30.0,TOT,81.0,1,1994.0,,,265.0,552.0,402.0,457.0,92.0,1421.0
2017.0,Lou Williams,SG,30.0,LAL,58.0,1,1403.0,,,204.0,417.0,304.0,344.0,67.0,1078.0
2017.0,Lou Williams,SG,30.0,HOU,23.0,0,591.0,,,61.0,135.0,98.0,113.0,25.0,343.0
2017.0,Marvin Williams,PF,30.0,CHO,76.0,,2295.0,,,173.0,350.0,131.0,150.0,134.0,849.0
2017.0,Reggie Williams,SF,30.0,NOP,6.0,0,79.0,,,3.0,12.0,6.0,7.0,2.0,27.0
2017.0,Troy Williams,SF,22.0,TOT,30.0,,557.0,,,55.0,105.0,21.0,32.0,60.0,185.0
2017.0,Troy Williams,SF,22.0,MEM,24.0,,418.0,,,41.0,82.0,15.0,25.0,42.0,127.0
2017.0,Troy Williams,SF,22.0,HOU,6.0,,139.0,,,14.0,23.0,6.0,7.0,18.0,58.0
2017.0,Kyle Wiltjer,PF,24.0,HOU,14.0,0,44.0,,,0.0,1.0,1.0,2.0,4.0,13.0
2017.0,Justise Winslow,SF,20.0,MIA,18.0,,625.0,,,73.0,190.0,29.0,47.0,52.0,196.0
2017.0,Jeff Withey,C,26.0,UTA,51.0,1,432.0,0,1,55.0,102.0,36.0,48.0,52.0,146.0
2017.0,Christian Wood,PF,21.0,CHO,13.0,0,107.0,0,,12.0,18.0,11.0,15.0,11.0,35.0
2017.0,Metta World,SF,37.0,LAL,25.0,,160.0,,,10.0,30.0,10.0,16.0,18.0,57.0
2017.0,Brandan Wright,PF,29.0,MEM,28.0,,447.0,0,1,83.0,134.0,23.0,35.0,42.0,189.0
2017.0,Delon Wright,PG,24.0,TOR,27.0,0,446.0,,,39.0,86.0,42.0,55.0,31.0,150.0
2017.0,James Young,SG,21.0,BOS,29.0,0,220.0,,,13.0,23.0,6.0,9.0,15.0,68.0
2017.0,Joe Young,PG,24.0,IND,33.0,0,135.0,,,21.0,49.0,11.0,15.0,5.0,68.0
2017.0,Nick Young,SG,31.0,LAL,60.0,,1556.0,,,102.0,212.0,77.0,90.0,137.0,791.0
2017.0,Thaddeus Young,PF,28.0,IND,74.0,,2237.0,,,317.0,569.0,45.0,86.0,135.0,814.0
2017.0,Cody Zeller,PF,24.0,CHO,62.0,,1725.0,0,1,253.0,442.0,133.0,196.0,189.0,639.0
2017.0,Tyler Zeller,C,27.0,BOS,51.0,,525.0,0,1,78.0,157.0,22.0,39.0,61.0,178.0
2017.0,Stephen Zimmerman,C,20.0,ORL,19.0,0,108.0,0,0,10.0,31.0,3.0,5.0,17.0,23.0
2017.0,Paul Zipser,SF,22.0,CHI,44.0,,843.0,,,55.0,122.0,31.0,40.0,78.0,240.0
2017.0,Ivica Zubac,C,19.0,LAL,38.0,,609.0,0,,126.0,235.0,32.0,49.0,66.0,284.0
